,release_year,lenght,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,clusters
1406,2016,103,0,6.5364428,0,1.1,6.629937,0
1407,2016,113,0,6.5,36,1.1,6.629937,0
1408,2015,90,0,4.5,83,1.0,6.629937,0
1409,2016,98,0,7.1,49,1.0,6.0,0
1410,2016,110,0,6.6,92,0.9,6.629937,0
1411,2016,12,0,6.5364428,0,0.9,5.0,0
1412,2016,44,1,6.7,17,0.9,6.629937,0
1413,2015,75,0,6.5364428,0,0.8,6.629937,0
1414,2016,13,0,6.5364428,0,0.8,6.629937,0
1415,2016,31,0,5.8,77,0.8,4.4,0
1416,2016,21,1,8.7,183,0.7,9.0,0
1417,2015,41,1,6.5364428,0,0.6,6.629937,0
1418,2015,80,0,5.6,68,18.541842,6.629937,0
1419,2015,65,0,6.5364428,0,18.541842,6.629937,0
1420,2015,42,1,7.2,161,18.541842,6.629937,0
1421,2015,44,1,7.1,15,18.541842,6.629937,0
1422,2018,48,4,7.7,261831,341.2,8.1,1
1423,2018,43,5,8.0,43464,163.9,8.5,0
1424,2017,60,4,8.5,322557,111.5,8.2,1
1425,2017,56,3,8.7,401384,132.9,8.4,1
1426,2018,26,3,8.5,46553,20.0,8.1,0
1427,2017,45,4,7.9,128720,141.6,7.5,0
1428,2018,33,6,8.5,190785,218.0,8.2,1
1429,2017,53,2,8.6,261429,49.7,8.1,1
1430,2017,47,4,8.4,26324,57.4,7.8,0
1431,2018,42,4,7.1,71203,176.2,7.7,0
1432,2018,43,5,7.6,9704,75.7,8.2,0
1433,2018,52,2,7.9,174909,47.0,7.7,0
1434,2018,58,1,8.6,252856,44.1,8.1,1
1435,2018,60,2,8.1,128571,25.0,7.8,0
1436,2018,49,3,7.3,101268,59.0,7.6,0
1437,2017,49,5,8.2,488125,1.4,6.629937,1
1438,2017,132,0,7.9,251347,46.3,8.2,1
1439,2017,65,1,8.3,70703,20.4,7.7,0
1440,2017,135,0,7.3,559932,54.1,7.2,1
1441,2018,39,1,7.7,80805,18.2,7.4,0
1442,2018,124,0,6.6,44300,14.5,6.7,0
1443,2017,42,7,6.6,147040,167.5,8.5,0
1444,2017,28,4,8.2,17104,15.8,8.0,0
1445,2017,99,0,7.0,72460,26.4,7.1,0
1446,2017,47,3,7.8,62922,93.9,7.3,0
1447,2018,82,0,7.2,1864,3.8,7.2,0
1448,2018,130,0,7.4,136288,14.7,7.3,0
1449,2017,27,6,7.9,82428,59.7,7.8,0
1450,2017,23,7,7.8,18915,32.6,7.6,0
1451,2018,49,6,7.3,82524,229.3,8.1,0
1452,2017,34,3,8.0,47733,12.2,7.3,0
1453,2018,41,4,7.3,33335,182.1,8.5,0
1454,2018,51,6,8.3,5944,5.1,7.5,0
1455,2017,46,3,8.7,57921,87.6,8.7,0
1456,2017,41,5,5.2,921,16.3,8.3,0
1457,2018,26,4,8.3,24590,34.7,8.3,0
1458,2018,96,0,5.8,8127,17.6,5.9,0
1459,2017,31,4,8.3,81643,33.9,8.2,0
1460,2018,57,4,7.4,98700,81.9,8.3,0
1461,2017,21,2,8.0,198042,37.9,8.1,1
1462,2018,17,5,8.0,6746,28.1,7.2,0
1463,2017,43,2,8.1,40235,16.9,7.4,0
1464,2018,139,0,7.0,115794,41.6,6.8,0
1465,2018,43,3,7.3,616,49.8,7.4,0
1466,2017,43,2,7.8,14216,21.7,7.3,0
1467,2018,103,0,7.0,77376,16.1,7.2,0
1468,2017,123,0,6.8,126512,33.3,7.2,0
1469,2017,29,3,7.8,70415,21.0,7.5,0
1470,2018,48,4,7.4,4659,18.3,7.0,0
1471,2018,17,2,5.5,5376,18.9,6.3,0
1472,2018,42,4,7.7,54425,45.8,8.0,0
1473,2018,67,1,8.1,32255,13.9,7.8,0
1474,2018,45,1,7.2,45397,11.6,6.9,0
1475,2018,48,1,7.5,29276,10.8,7.4,0
1476,2018,50,4,7.9,5948,9.3,7.4,0
1477,2017,140,0,7.4,176952,29.0,7.1,0
1478,2018,45,3,6.8,12001,30.9,7.9,0
1479,2017,26,4,8.3,68855,46.8,8.3,0
1480,2018,46,3,7.3,11424,108.5,6.7,0
1481,2018,30,1,8.5,3715,4.5,8.3,0
1482,2017,104,0,6.3,105599,43.8,6.2,0
1483,2018,124,0,6.6,352136,31.6,6.9,1
1484,2018,27,4,6.8,17779,32.3,7.5,0
1485,2018,109,0,7.1,61425,13.9,6.8,0
1486,2017,64,2,8.5,8884,27.3,8.5,0
1487,2018,28,4,7.2,64413,52.9,7.5,0
1488,2018,114,0,6.6,32704,21.2,7.0,0
1489,2018,55,1,8.3,1795,6.2,8.3,0
1490,2018,43,4,6.5,35341,39.7,7.3,0
1491,2018,117,0,7.1,47373,10.5,7.0,0
1492,2017,33,2,8.1,31562,16.2,7.5,0
1493,2018,25,2,6.2,717,5.6,6.0,0
1494,2018,29,4,7.9,17586,34.2,8.5,0
1495,2017,42,5,7.3,23392,75.6,8.2,0
1496,2018,26,1,6.6,844,6.2,6.2,0
1497,2018,111,0,6.7,24678,21.6,6.9,0
1498,2018,90,0,6.1,3389,6.0,5.6,0
1499,2018,25,1,5.5,1838,3.3,5.1,0
1500,2018,95,0,6.1,82147,25.2,6.2,0
1501,2018,100,0,6.5,66680,20.2,6.7,0
1502,2018,26,2,6.5,4614,26.7,7.2,0
1503,2018,96,0,4.8,6663,12.7,5.8,0
1504,2017,35,2,6.9,4844,12.8,6.4,0
1505,2018,25,1,8.1,13191,54.3,8.7,0
1506,2017,61,0,7.0,5835,7.1,7.0,0
1507,2018,91,0,6.4,34614,26.7,7.3,0
1508,2018,32,1,7.5,1146,2.9,6.3,0
1509,2017,83,0,6.5,8128,9.2,6.2,0
1510,2017,44,2,6.8,20994,22.6,7.1,0
1511,2018,106,0,6.0,2392,7.1,5.9,0
1512,2017,125,0,7.4,193208,30.6,7.4,1
1513,2018,45,1,7.8,8347,18.4,7.0,0
1514,2018,96,0,7.0,57576,12.3,6.8,0
1515,2017,85,0,5.5,3660,12.4,6.1,0
1516,2018,105,0,6.5,56997,14.6,6.9,0
1517,2017,43,1,7.0,4427,4.4,6.0,0
1518,2017,58,4,7.5,298446,72.3,7.7,1
1519,2018,50,1,6.2,168,1.1,4.0,0
1520,2018,46,2,8.0,36376,9.9,7.2,0
1521,2017,117,0,6.3,193029,20.9,6.2,1
1522,2018,130,0,6.5,84625,39.6,6.2,0
1523,2018,44,2,6.8,1408,7.2,7.3,0
1524,2018,55,1,7.6,4399,4.7,6.6,0
1525,2018,74,0,5.9,4326,8.1,6.0,0
1526,2018,24,5,8.0,16952,26.2,8.6,0
1527,2018,73,0,7.5,5452,10.0,7.2,0
1528,2018,56,3,8.4,86370,89.0,7.9,0
1529,2018,44,2,7.1,384,62.1,7.5,0
1530,2018,24,1,8.1,450,3.6,8.3,0
1531,2018,47,1,5.4,3087,14.0,6.1,0
1532,2018,95,0,8.4,25061,18.7,8.1,0
1533,2017,52,1,8.0,10881,8.8,7.6,0
1534,2018,127,0,5.7,1968,6.3,6.0,0
1535,2018,26,3,8.2,41000,20.7,7.5,0
1536,2018,132,0,7.3,152863,35.7,7.1,0
1537,2018,24,1,6.3,322,5.4,8.0,0
1538,2017,92,0,5.4,7667,15.5,5.7,0
1539,2017,99,0,6.0,2740,13.5,6.2,0
1540,2017,89,0,5.9,8644,7.5,5.4,0
1541,2017,96,0,5.9,4665,6.0,6.7,0
1542,2018,28,2,6.6,531,2.4,6.0,0
1543,2018,107,0,6.2,1807,6.4,6.6,0
1544,2018,42,4,6.1,24646,60.9,7.1,0
1545,2017,30,3,6.6,1343,4.3,5.6,0
1546,2018,98,0,4.2,1839,12.9,5.4,0
1547,2018,78,0,7.9,21660,8.2,7.7,0
1548,2018,99,0,7.5,1722,4.0,7.5,0
1549,2017,57,0,3.2,10109,7.7,4.1,0
1550,2018,125,0,5.5,976,4.9,5.3,0
1551,2018,41,4,4.7,17126,65.8,7.4,0
1552,2017,73,0,6.8,3308,4.8,6.7,0
1553,2018,139,0,5.9,5409,23.8,6.3,0
1554,2017,43,3,7.9,1428,6.0,8.1,0
1555,2018,24,2,6.8,2625,14.4,7.5,0
1556,2018,65,0,6.6,7166,12.5,6.5,0
1557,2018,103,0,5.6,5067,12.9,6.2,0
1558,2018,89,0,7.4,971,3.0,7.5,0
1559,2017,102,0,7.7,3215,4.4,6.9,0
1560,2018,22,2,7.7,6552,17.9,7.4,0
1561,2018,98,0,7.4,5210,8.7,7.3,0
1562,2018,44,2,7.6,5157,83.6,8.5,0
1563,2017,29,2,7.4,11934,7.7,6.9,0
1564,2018,23,4,6.5,3941,44.2,7.0,0
1565,2018,125,0,6.5,4713,16.2,7.2,0
1566,2018,32,1,6.5,851,4.8,7.8,0
1567,2017,102,0,6.2,35337,15.2,6.3,0
1568,2018,44,2,7.2,22569,14.9,7.0,0
1569,2018,33,7,7.4,5083,14.8,7.3,0
1570,2018,25,1,4.7,750,2.0,5.2,0
1571,2017,44,3,7.3,1739,10.0,7.2,0
1572,2018,100,0,5.8,5096,20.8,6.5,0
1573,2017,45,2,8.4,5306,13.7,7.9,0
1574,2018,25,1,8.4,24171,41.7,8.6,0
1575,2018,60,1,5.3,11,4.9,6.3,0
1576,2017,42,1,5.9,3279,5.6,6.4,0
1577,2018,56,2,7.2,3893,6.1,7.3,0
1578,2017,95,0,6.1,6519,9.6,6.0,0
1579,2018,94,0,5.2,18121,11.8,5.7,0
1580,2018,97,0,5.2,6873,12.0,5.5,0
1581,2017,110,0,6.6,3268,8.3,6.7,0
1582,2018,23,0,6.5364428,0,5.0,6.6,0
1583,2018,26,0,6.5364428,0,7.1,7.9,0
1584,2018,66,0,7.1,2556,2.9,6.5,0
1585,2018,110,0,5.0,2919,10.4,5.0,0
1586,2018,91,0,5.4,29098,17.8,5.7,0
1587,2018,47,6,8.5,19435,24.0,7.8,0
1588,2018,93,0,6.5,1480,3.9,6.0,0
1589,2018,162,0,7.2,6653,7.5,6.7,0
1590,2018,96,0,5.9,2908,5.5,5.6,0
1591,2017,90,0,6.0,2765,10.2,5.9,0
1592,2017,38,3,6.3,350,9.0,6.1,0
1593,2017,21,1,6.3,2849,8.6,8.0,0
1594,2017,45,3,7.9,5872,11.1,7.6,0
1595,2017,106,0,6.8,2979,8.7,6.4,0
1596,2018,36,1,7.7,1253,1.4,7.8,0
1597,2017,85,0,6.4,86953,29.9,6.1,0
1598,2018,25,2,8.5,11520,20.0,8.2,0
1599,2018,105,0,6.6,18177,12.8,7.0,0
1600,2018,47,1,6.6,517,9.6,5.7,0
1601,2018,74,0,7.1,2911,5.5,6.6,0
1602,2017,126,0,6.6,4262,9.2,6.4,0
1603,2017,86,0,5.5,2910,18.3,5.9,0
1604,2017,147,0,7.2,11016,7.2,7.6,0
1605,2017,60,0,7.3,2444,4.4,7.1,0
1606,2018,74,0,6.6,7839,21.1,6.8,0
1607,2017,121,0,7.1,3690,8.6,6.5,0
1608,2017,66,1,8.7,2930,3.3,7.5,0
1609,2017,48,3,7.9,15189,30.5,7.4,0
1610,2018,61,1,8.2,1905,3.3,8.3,0
1611,2018,89,0,5.1,8271,10.3,4.8,0
1612,2018,96,0,5.9,4698,9.3,6.5,0
1613,2018,89,0,5.8,4570,13.0,6.2,0
1614,2017,30,4,6.3,25755,19.2,6.3,0
1615,2017,56,1,7.9,1292,6.6,7.8,0
1616,2017,71,0,6.9,3831,6.7,6.9,0
1617,2018,26,2,5.4,3137,15.9,6.8,0
1618,2017,100,0,7.0,706,3.0,7.1,0
1619,2018,95,0,5.4,1843,7.1,5.1,0
1620,2018,83,0,5.5,4031,6.6,5.0,0
1621,2018,23,1,6.5,574,9.0,7.1,0
1622,2018,25,6,8.3,7652,7.2,7.3,0
1623,2017,86,0,4.4,6412,14.6,5.5,0
1624,2018,98,0,6.4,9455,19.8,7.2,0
1625,2017,110,0,6.9,5205,6.1,7.0,0
1626,2017,150,0,7.8,27395,7.7,7.4,0
1627,2017,72,0,8.2,7646,7.8,7.7,0
1628,2018,65,0,5.8,1348,5.0,6.2,0
1629,2018,15,2,8.0,303,4.8,9.3,0
1630,2017,28,3,6.5,306,3.3,7.1,0
1631,2018,110,0,4.4,636,3.7,5.0,0
1632,2018,90,0,4.9,169,2.4,5.2,0
1633,2018,25,3,4.7,3374,16.7,7.1,0
1634,2018,43,1,7.7,2599,2.2,8.2,0
1635,2018,105,0,4.6,727,7.1,6.1,0
1636,2017,97,0,5.7,9754,8.5,5.6,0
1637,2018,63,0,7.3,4517,3.5,7.1,0
1638,2018,27,2,5.3,873,12.4,7.4,0
1639,2017,27,0,7.1,286,2.4,7.2,0
1640,2018,56,0,7.2,1793,4.1,6.7,0
1641,2017,73,0,7.1,2476,3.9,7.0,0
1642,2018,25,1,6.5,634,3.2,7.0,0
1643,2018,95,0,5.7,10813,9.6,6.7,0
1644,2018,72,0,7.2,4296,5.8,7.1,0
1645,2017,100,0,5.4,1531,5.2,5.6,0
1646,2018,52,1,5.7,704,7.7,6.8,0
1647,2018,104,0,6.2,1657,6.4,6.1,0
1648,2018,33,2,7.7,161,5.6,6.2,0
1649,2017,28,3,7.2,2246,27.3,7.9,0
1650,2018,90,0,5.9,6441,8.1,5.2,0
1651,2018,99,0,6.3,18509,10.2,6.6,0
1652,2017,70,0,6.4,1326,3.3,6.6,0
1653,2018,27,3,7.1,5627,10.5,7.1,0
1654,2018,111,0,6.7,11429,15.4,7.0,0
1655,2017,55,1,6.6,388,3.3,6.1,0
1656,2017,45,5,7.6,5751,9.7,7.3,0
1657,2018,100,0,7.0,14983,25.5,7.2,0
1658,2018,96,0,7.3,1413,5.6,7.0,0
1659,2017,21,2,4.7,289,10.1,7.5,0
1660,2017,109,0,7.4,37031,28.0,8.0,0
1661,2018,63,0,7.3,4424,7.1,7.1,0
1662,2018,90,0,6.7,763,4.5,6.4,0
1663,2018,32,1,6.8,539,1.8,6.0,0
1664,2018,90,0,5.6,3691,14.5,6.5,0
1665,2018,24,1,5.8,461,11.5,5.1,0
1666,2018,21,8,6.0,840,26.2,8.2,0
1667,2018,94,0,7.9,1285,6.5,7.8,0
1668,2017,80,0,5.4,847,4.6,6.4,0
1669,2018,57,0,7.3,2447,3.6,7.4,0
1670,2018,50,2,8.0,1323,4.3,8.2,0
1671,2017,93,0,6.7,21,19.7,5.9,0
1672,2017,107,0,5.1,1514,7.0,5.5,0
1673,2018,86,0,6.3,521,4.0,5.7,0
1674,2018,95,0,6.2,14441,5.9,5.8,0
1675,2017,81,0,5.2,4838,7.8,5.3,0
1676,2018,92,0,3.8,4887,15.8,5.3,0
1677,2017,61,1,7.5,271,6.3,7.0,0
1678,2018,36,4,8.4,11045,10.5,7.5,0
1679,2018,78,0,5.7,4392,10.4,5.8,0
1680,2018,42,3,6.1,393,2.6,8.5,0
1681,2017,155,0,7.2,22145,9.9,6.9,0
1682,2017,83,0,6.5,5880,8.0,6.1,0
1683,2018,57,1,6.7,19153,17.9,6.4,0
1684,2018,105,0,5.8,3647,21.3,6.3,0
1685,2018,23,3,7.2,3529,12.4,6.5,0
1686,2017,75,1,8.0,5244,28.3,8.2,0
1687,2018,93,0,4.0,545,3.9,4.0,0
1688,2018,49,0,7.1,1891,5.3,7.4,0
1689,2017,70,0,7.2,2012,3.2,6.7,0
1690,2018,95,0,6.9,3230,7.0,6.7,0
1691,2017,101,0,6.9,14059,9.1,6.6,0
1692,2017,113,0,8.2,5136,9.0,7.6,0
1693,2018,125,0,8.4,5831,12.4,8.3,0
1694,2018,64,0,7.3,5153,6.4,7.0,0
1695,2018,140,0,7.9,26968,13.2,7.5,0
1696,2018,110,0,5.8,3272,8.2,5.2,0
1697,2017,51,0,6.3,459,2.7,5.4,0
1698,2017,52,0,6.1,619,2.9,4.9,0
1699,2018,98,0,5.3,12383,22.5,6.3,0
1700,2017,68,0,7.3,5584,4.9,7.1,0
1701,2018,52,1,8.4,3976,4.6,8.2,0
1702,2017,54,0,6.8,2194,6.0,6.3,0
1703,2018,73,1,8.1,7040,34.4,7.9,0
1704,2017,85,0,3.5,718,3.9,4.9,0
1705,2018,98,0,6.2,3413,8.2,6.1,0
1706,2017,30,1,7.5,1971,11.6,6.8,0
1707,2018,153,0,8.5,2290,4.4,8.0,0
1708,2018,131,0,7.3,5378,4.2,7.2,0
1709,2018,45,1,7.5,264,6.0,8.2,0
1710,2018,24,2,7.2,4555,8.5,7.1,0
1711,2018,43,1,7.1,465,2.7,7.8,0
1712,2017,92,0,5.8,20635,11.5,6.6,0
1713,2018,95,0,5.7,1510,3.5,6.1,0
1714,2018,99,0,7.1,5038,9.5,7.6,0
1715,2017,60,0,6.3,1215,4.2,6.2,0
1716,2018,69,2,6.5,168,2.9,7.9,0
1717,2018,108,0,5.5,15425,14.2,5.5,0
1718,2017,108,0,7.5,448,4.0,7.0,0
1719,2017,61,0,6.3,693,2.8,5.9,0
1720,2018,92,0,5.8,5304,10.8,6.2,0
1721,2018,104,0,4.5,2418,5.4,2.4,0
1722,2018,50,1,3.9,776,5.3,7.5,0
1723,2017,65,1,8.3,4909,4.3,7.5,0
1724,2017,105,0,7.2,3049,8.5,7.3,0
1725,2017,23,4,6.6,6463,22.5,7.9,0
1726,2018,133,0,7.2,8580,7.6,6.7,0
1727,2018,25,2,7.1,5165,22.1,7.7,0
1728,2017,49,0,5.8,843,1.9,5.2,0
1729,2017,101,0,6.1,3851,14.3,6.2,0
1730,2017,44,1,7.7,34336,15.7,7.2,0
1731,2017,59,2,7.1,708,4.9,7.0,0
1732,2018,110,0,5.9,4563,13.1,6.2,0
1733,2018,62,0,6.2,1517,4.5,6.3,0
1734,2018,120,0,6.4,11256,10.6,6.3,0
1735,2018,92,0,4.2,3170,9.8,4.6,0
1736,2018,51,2,7.8,3644,5.7,7.4,0
1737,2018,91,0,5.7,786,4.6,5.6,0
1738,2018,100,0,7.3,9644,11.4,8.1,0
1739,2018,44,1,5.8,13606,8.8,5.5,0
1740,2018,108,0,5.5,37340,33.8,6.0,0
1741,2017,97,0,6.5,1012,5.2,6.6,0
1742,2018,50,3,8.0,4556,27.1,8.0,0
1743,2018,124,0,7.6,4702,8.1,7.4,0
1744,2018,91,0,5.7,291,1.7,6.2,0
1745,2018,104,0,6.1,328,3.5,6.9,0
1746,2017,95,0,6.7,1252,4.7,6.2,0
1747,2017,30,1,6.5364428,0,4.5,6.8,0
1748,2018,15,2,6.0,514,2.2,6.0,0
1749,2018,91,0,6.7,2649,6.6,7.6,0
1750,2018,93,0,6.8,15928,10.4,6.5,0
1751,2017,83,0,6.1,6202,9.1,5.8,0
1752,2018,70,0,5.0,2432,8.0,5.3,0
1753,2018,102,0,5.7,4489,13.2,5.3,0
1754,2017,23,1,4.9,1709,8.2,5.9,0
1755,2018,93,0,5.3,4228,13.2,5.5,0
1756,2017,56,0,7.3,988,3.2,7.0,0
1757,2018,116,0,6.4,677,2.8,6.7,0
1758,2018,115,0,5.8,552,3.0,4.4,0
1759,2017,44,5,7.4,1448,74.9,6.3,0
1760,2018,107,0,6.2,4009,13.1,6.8,0
1761,2017,62,0,4.4,339,1.9,4.4,0
1762,2017,77,0,7.2,7748,5.4,6.8,0
1763,2018,38,2,6.7,2693,19.4,7.5,0
1764,2018,62,1,7.7,15323,10.1,7.3,0
1765,2017,121,0,7.9,51396,10.0,7.7,0
1766,2017,65,1,8.6,955,1.6,7.3,0
1767,2018,58,0,7.1,1593,4.0,6.7,0
1768,2017,44,1,5.5,338,2.8,7.7,0
1769,2017,84,0,7.8,1563,5.5,7.3,0
1770,2018,59,1,7.7,601,4.5,6.4,0
1771,2018,101,0,6.0,29401,18.7,7.0,0
1772,2017,46,5,7.6,13855,53.0,7.8,0
1773,2017,60,0,7.4,2868,5.3,6.8,0
1774,2017,11,2,3.4,750,10.2,5.0,0
1775,2018,49,2,7.3,1612,2.4,7.1,0
1776,2017,104,0,6.5,114405,25.6,6.4,0
1777,2018,102,0,6.4,2389,8.8,6.5,0
1778,2017,69,0,6.2,1321,6.6,6.3,0
1779,2017,76,0,6.6,1040,3.6,6.0,0
1780,2018,70,0,7.4,4224,5.0,6.8,0
1781,2018,182,0,6.1,453,4.3,6.3,0
1782,2017,63,0,7.0,2267,4.1,6.5,0
1783,2018,22,1,7.5,101,3.7,9.0,0
1784,2018,88,0,6.5,372,3.2,6.2,0
1785,2018,82,0,7.0,6381,10.4,6.8,0
1786,2018,104,0,7.5,333,2.4,7.3,0
1787,2018,82,0,5.7,3828,14.2,6.2,0
1788,2018,86,0,7.4,1715,7.6,7.1,0
1789,2018,16,4,8.4,3270,125.3,8.6,0
1790,2018,161,0,7.7,52227,7.7,7.3,0
1791,2017,100,0,6.0,1983,8.9,5.7,0
1792,2017,13,0,6.5364428,0,3.4,8.3,0
1793,2018,95,0,6.2,1378,5.1,5.9,0
1794,2017,64,0,6.1,945,4.1,5.1,0
1795,2017,55,2,7.4,12166,20.4,6.8,0
1796,2017,84,0,5.9,2122,3.7,6.3,0
1797,2018,87,0,6.3,5089,11.6,6.9,0
1798,2018,23,3,7.7,2442,59.2,8.3,0
1799,2018,135,0,7.7,161871,16.0,7.7,0
1800,2018,130,0,2.3,23066,26.2,5.6,0
1801,2018,120,0,7.4,4584,14.7,7.6,0
1802,2018,57,0,7.2,18,1.3,10.0,0
1803,2018,42,1,6.8,3335,4.4,7.0,0
1804,2017,24,1,7.5,1505,2.7,9.0,0
1805,2017,89,0,5.7,2958,6.9,5.4,0
1806,2018,26,2,6.1,533,6.0,7.0,0
1807,2018,100,0,7.1,101175,37.8,7.7,0
1808,2018,42,1,6.6,250,1.3,6.0,0
1809,2018,127,0,6.3,4095,8.9,6.3,0
1810,2018,24,1,6.9,545,14.1,7.9,0
1811,2017,96,0,6.9,55549,11.7,6.5,0
1812,2018,74,0,7.5,525,2.4,7.2,0
1813,2018,35,0,6.5364428,0,2.4,5.4,0
1814,2018,91,0,5.5,3838,8.8,5.6,0
1815,2018,139,0,6.2,3388,15.8,6.3,0
1816,2017,90,0,7.0,562,3.9,6.6,0
1817,2017,79,0,5.3,513,7.5,5.7,0
1818,2018,54,2,7.0,4717,13.0,6.8,0
1819,2018,27,1,7.0,2056,8.8,6.2,0
1820,2018,111,0,6.9,719,4.2,7.3,0
1821,2018,60,0,6.2,940,4.2,5.3,0
1822,2018,48,2,6.7,496,8.0,7.0,0
1823,2017,66,0,6.1,526,3.8,6.0,0
1824,2018,50,0,5.7,365,3.2,5.4,0
1825,2017,56,1,8.2,14,10.7,7.5,0
1826,2018,45,2,5.4,8,18.541842,6.629937,0
1827,2018,75,2,7.4,5199,32.0,7.4,0
1828,2018,26,4,7.5,5451,33.2,8.3,0
1829,2018,28,0,6.5364428,0,3.3,6.4,0
1830,2018,94,0,5.6,19251,16.6,6.0,0
1831,2017,44,4,2.9,16,100.6,6.6,0
1832,2018,63,0,6.6,885,3.2,6.2,0
1833,2018,24,3,8.0,9538,17.3,7.7,0
1834,2017,45,2,7.5,5529,6.2,7.1,0
1835,2017,67,0,6.9,2267,3.5,6.9,0
1836,2017,30,1,6.8,252,4.1,6.9,0
1837,2018,23,0,6.5364428,0,3.9,6.1,0
1838,2017,71,0,7.5,2565,4.1,7.4,0
1839,2018,61,1,8.3,1419,5.4,8.1,0
1840,2017,61,0,7.0,1360,4.5,6.7,0
1841,2017,147,0,6.2,7063,5.3,5.9,0
1842,2017,119,0,5.2,32956,19.0,5.2,0
1843,2018,57,0,6.9,1518,4.6,6.9,0
1844,2018,120,0,5.6,1121,14.2,5.8,0
1845,2017,120,0,7.3,116305,21.1,7.4,0
1846,2018,88,0,6.2,272,1.9,7.4,0
1847,2018,91,0,7.2,101,1.3,6.0,0
1848,2017,66,0,6.2,466,2.9,6.1,0
1849,2018,70,1,9.1,7285,20.6,8.3,0
1850,2018,98,0,7.3,366,3.2,7.0,0
1851,2018,58,0,6.6,1442,3.8,6.1,0
1852,2017,95,0,5.4,133,1.4,6.0,0
1853,2017,47,1,6.5364428,0,2.5,5.7,0
1854,2017,123,0,7.5,24328,5.8,6.8,0
1855,2018,102,0,5.5,107743,17.2,5.6,0
1856,2018,86,0,7.0,2334,6.6,7.9,0
1857,2018,70,2,5.4,126,2.5,6.5,0
1858,2017,63,0,5.6,166,2.3,5.6,0
1859,2018,109,0,6.8,3306,11.1,6.4,0
1860,2017,136,0,7.2,17871,14.0,7.4,0
1861,2018,24,1,7.0,396,12.1,8.0,0
1862,2018,108,0,7.9,690,3.9,7.2,0
1863,2018,92,0,4.5,837,8.0,4.2,0
1864,2018,51,3,7.0,1623,13.3,7.0,0
1865,2017,103,0,7.8,949,4.1,8.1,0
1866,2018,89,0,5.5,1151,6.7,5.5,0
1867,2018,113,0,5.0,54786,21.5,5.3,0
1868,2017,65,0,7.9,3633,3.9,7.3,0
1869,2017,104,0,6.5,5713,5.9,6.2,0
1870,2018,100,0,6.0,2842,8.2,5.8,0
1871,2017,143,0,5.1,21481,6.8,6.5,0
1872,2018,108,0,5.4,1246,11.7,5.1,0
1873,2017,91,1,8.4,3881,16.9,8.3,0
1874,2017,65,0,6.9,1777,2.8,6.9,0
1875,2018,124,0,7.3,48475,10.5,7.5,0
1876,2018,53,1,7.0,2134,8.4,7.7,0
1877,2018,125,0,6.9,3079,7.9,7.2,0
1878,2018,95,0,5.3,1779,10.5,5.6,0
1879,2018,57,0,7.2,1107,8.5,6.8,0
1880,2018,45,1,7.6,1412,18.6,8.4,0
1881,2018,87,0,3.3,54,6.5,5.2,0
1882,2017,31,0,6.5364428,0,2.7,5.6,0
1883,2018,100,0,6.1,42608,24.8,5.9,0
1884,2018,23,2,5.8,992,25.5,6.8,0
1885,2018,95,0,5.8,54441,25.4,6.0,0
1886,2017,105,0,6.8,12,4.7,4.3,0
1887,2018,58,0,5.8,4543,8.4,6.9,0
1888,2017,81,0,6.6,1139,4.3,5.8,0
1889,2017,107,0,6.4,3986,6.8,6.4,0
1890,2017,100,0,6.1,38,2.2,7.4,0
1891,2018,74,0,7.5,4059,4.9,7.1,0
1892,2018,68,0,6.5,1454,3.7,6.3,0
1893,2017,103,0,5.6,8494,13.6,5.8,0
1894,2018,44,2,7.1,1384,6.8,7.5,0
1895,2018,130,0,6.3,54831,14.1,6.1,0
1896,2017,105,0,6.2,43197,25.8,6.2,0
1897,2018,23,4,6.7,1005,17.4,8.2,0
1898,2018,33,2,7.7,1171,6.4,7.4,0
1899,2018,105,0,5.9,86529,59.5,7.2,0
1900,2017,105,0,5.1,4830,2.6,5.1,0
1901,2018,56,0,7.3,1010,3.5,5.7,0
1902,2018,105,0,6.8,17918,8.8,6.8,0
1903,2018,97,0,7.1,497,3.1,5.4,0
1904,2018,31,1,7.4,1253,18.2,7.4,0
1905,2018,135,0,5.0,245,1.8,4.8,0
1906,2017,122,0,6.0,47933,9.9,5.6,0
1907,2018,114,0,6.6,14603,7.6,6.7,0
1908,2017,102,0,6.1,763,6.9,6.2,0
1909,2017,77,0,5.5,103,1.4,5.2,0
1910,2017,60,0,6.8,880,3.7,7.3,0
1911,2018,115,0,7.6,5402,3.4,7.0,0
1912,2018,120,0,6.7,614,3.3,5.9,0
1913,2018,126,0,6.4,2089,3.2,6.4,0
1914,2018,108,0,6.4,11406,16.7,6.6,0
1915,2018,109,0,7.9,3287,5.8,8.0,0
1916,2018,92,0,5.3,11305,12.5,6.4,0
1917,2017,72,0,6.5,3000,4.6,6.5,0
1918,2018,97,0,4.8,30698,15.4,5.4,0
1919,2017,63,0,7.3,1544,3.5,6.9,0
1920,2018,63,0,6.5,1255,3.1,6.7,0
1921,2017,94,0,5.7,22130,13.2,5.6,0
1922,2018,46,1,6.7,84,1.1,5.0,0
1923,2017,135,0,7.4,47676,8.6,7.4,0
1924,2018,100,0,7.3,5755,8.6,7.8,0
